	Title	OAI	Authors	Full Text	Harvest date	DOI	Unnamed: 0	paper_id	ref	citedBy	publish_year
13	Theoretical prediction of free-energy landscapes for complex self-assembly	oai:dspace-production:1810/247255	William M. Jacobs, Aleks Reinhardt and Daan Frenkel	No	2016-05-18T11:30:44Z	10.1063/1.4905670	92951038	783A9F29	9	4	2015
14	Global circulation patterns of seasonal influenza viruses vary with antigenic drift	oai:dspace-production:1810/248004	Trevor Bedford, Steven Riley, Ian G. Barr, Shobha Broor, Mandeep Chadha, Nancy J. Cox, Rodney S. Daniels, C. Palani Gunasekaran, Aeron C. Hurt, Anne Kelso, Alexander Klimov, Nicola S. Lewis, Xiyan Li, John W. McCauley, Takato Odagiri, Varsha Potdar, Andrew Rambaut, Yuelong Shu, Eugene Skepner, Derek J. Smith, Marc A. Suchard, Masato Tashiro, Dayan Wang, Xiyan Xu, Philippe Lemey and Colin A. Russell	No	2016-05-18T11:30:53Z	10.1038/nature14460	2638829	7EE1AA3A	34	5	2015
15	Mechanism of two-step vapour?crystal nucleation in a pore	oai:dspace-production:1810/247947	J. A. van Meel, Y. Liu and D. Frenkel	No	2016-05-18T11:30:52Z	10.1080/00268976.2015.1031844	114974255	7C55AA42	55	0	2015
16	Five steps in the evolution from protoplanetary to debris disk	oai:dspace-production:1810/247955	M. C. Wyatt, O. Pan?c, G. M. Kennedy and L. Matr?	No	2016-05-18T11:30:52Z	10.1007/s10509-015-2315-6	104308115	5C9CB31A	8	0	2014
17	Novel SCN9A Mutations Underlying Extreme Pain Phenotypes: Unexpected Electrophysiological and Clinical Phenotype Correlations	oai:dspace-production:1810/248031	Edward C. Emery, Abdella M. Habib, James J. Cox, Adeline K. Nicholas, Fiona M. Gribble, C. Geoffrey Woods and Frank Reimann	No	2016-05-18T11:30:53Z	10.1523/JNEUROSCI.3935-14.2015	115359402	6F25C52A	12	2	2015
18	Role of hydrogen-bonding and its interplay with octahedral tilting in CH3NH3PbI3	oai:dspace-production:1810/247790	Jung-Hoon Lee, Nicholas C. Bristowe, Paul D. Bristowe and Anthony K. Cheetham	No	2016-05-18T11:30:51Z	10.1039/C5CC00979K	98596875	812C89BF	10	4	2015
19	Multiscale tool-fabric contact observation and analysis for composite fabric forming	oai:dspace-production:1810/247797	Olga Smerdova and Michael P. F. Sutcliffe	No	2016-05-18T11:30:51Z	10.1016/j.compositesa.2015.03.009	114387544	7C541D6A	41	3	2015
20	A Dependent Type Theory with Abstractable Names	oai:dspace-production:1810/247863	Andrew M. Pitts, Justus Matthiesen and Jasper Derikx	No	2016-05-18T11:30:52Z	10.1016/j.entcs.2015.04.003	118461821	7A614446	20	0	2015
21	Impact perforation of monolithic polyethylene plates: projectile nose shape dependence	oai:dspace-production:1810/247870	I. Mohagheghian, G. J. McShane and W. J. Stronge	No	2016-05-18T11:30:52Z	10.1016/j.ijimpeng.2015.02.002	107166781	7B09FDD6	52	0	2015
22	Exome and Transcriptome Sequencing of Aedes aegypti Identifies a Locus That Confers Resistance to Brugia malayi and Alters the Immune Response	oai:dspace-production:1810/247856	Punita Juneja, Cristina V. Ariani, Yung Shwen Ho, Jewelna Akorli, William J. Palmer, Arnab Pain and Francis M. Jiggins	No	2016-05-18T11:30:52Z	10.1371/journal.ppat.1004765	14353635	79A67781	0	0	2015
23	Genome-wide RNAi screen reveals role for multi-pass membrane protein in endosome-to-Golgi retrieval	oai:dspace-production:1810/246421	Sophia Y. Breusegem and Matthew N. J. Seaman	No	2016-05-18T11:30:35Z	10.1016/j.celrep.2014.10.053	123722080	79C51005	64	1	2014
24	Nanofibrous hydrogel composites as mechanically robust tissue engineering scaffolds	oai:dspace-production:1810/246499	Annabel L. Butcher, Giovanni S. Offeddu and Michelle L. Oyen	No	2016-05-18T11:30:36Z	10.1016/j.tibtech.2014.09.001	94246836	784EAC53	76	6	2014
25	Surface-immobilised micelles via cucurbit[8]uril-rotaxanes for solvent-induced burst release	oai:dspace-production:1810/247601	Chi Hu, Yu Zheng, Ziyi Yu, Chris Abell and Oren A. Scherman	No	2016-05-18T11:30:50Z	10.1039/C5CC00121H	98609254	794C2388	9	1	2015
26	The broad-spectrum antibiotic, zeamine, kills the nematode worm Caenorhabditis elegans	oai:dspace-production:1810/247612	Josephine E. E. U. Hellberg, Miguel A. Matilla and George P. C. Salmond	No	2016-05-18T11:30:50Z	10.3389/fmicb.2015.00137	62165512	78E32A08	69	0	2015
27	A Study of the Inclusion of Prelayers in InGaN/GaN Single and Multiple Quantum Well Structures	oai:dspace-production:1810/246509	Matthew J. Davies, Philip Dawson, Fabien C.-P. Massabuau, Adrian Le Fol, Rachel A. Oliver, Menno J. Kappers and Colin J. Humphreys	No	2016-05-18T11:30:36Z	10.1002/pssb.201451535	11878434	71C68069	0	0	2015
28	Consistency of maternal cognitions and principles across the first five months following preterm and term deliveries	oai:dspace-production:1810/246414	A. V. Winstanley, R. G. Sperotto, D. L. Putnick, S. Cherian, M. H. Bornstein and M. Gattis	No	2016-05-18T11:30:35Z	10.1016/j.infbeh.2014.09.005	2432224	7F8D9148	54	1	2014
29	The Causes and Consequences of Changes in Virulence following Pathogen Host Shifts	oai:dspace-production:1810/247588	Ben Longdon, Jarrod D. Hadfield, Jonathan P. Day, Sophia C. L. Smith, John E. McGonigle, Rodrigo Cogni, Chuan Cao and Francis M. Jiggins	No	2016-05-18T11:30:50Z	10.1371/journal.ppat.1004728	14351980	7B798193	0	1	2014
30	Engineered bamboo for structural applications	oai:dspace-production:1810/247518	Bhavna Sharma, Ana Gat?o, Maximilian Bock and Michael Ramage	No	2016-05-18T11:30:49Z	10.1016/j.conbuildmat.2015.01.077	123305741	7B8105E5	21	3	2015
31	Performative Rituals for Conception and Childbirth in England, 900-1500	oai:dspace-production:1810/247511	Peter Jones and Lea T. Olsan	No	2016-05-18T11:30:49Z	10.1353/bhm.2015.0076	122100459	7F25CAF9	0	0	2015
32	Treatment of unresectable intrahepatic cholangiocarcinoma with yttrium-90 radioembolization: A systematic review and pooled analysis	oai:dspace-production:1810/247307	D. P. Al-Adra, R. S. Gill, S. J. Axford, X. Shi, N. Kneteman and S.-S. Liau	No	2016-05-18T11:30:44Z	10.1016/j.ejso.2014.09.007	122164534	75EF4464	30	3	2015
33	New spaces for nature: the re-territorialisation of biodiversity conservation under neoliberalism in the UK	oai:dspace-production:1810/247151	William M. Adams, Ian D. Hodge and Lindsey Sandbrook	No	2016-05-18T11:30:43Z	10.1111/tran.12050	16320423	7DF76E52	42	6	2014
34	Divergence in male and female manipulative behaviors with the intensification of metallurgy in Central Europe	oai:dspace-production:1810/247065	Alison A. Macintosh, Ron Pinhasi and Jay T. Stock	No	2016-05-18T11:30:43Z	10.1371/journal.pone.0112116	124440814	75172FB7	76	1	2014
35	High-Fat Feeding Impairs Nutrient Sensing and Gut Brain Integration in the Caudomedial Nucleus of the Solitary Tract in Mice	oai:dspace-production:1810/247051	Althea R. Cavanaugh, Gary J. Schwartz and Cl?mence Blouet	No	2016-05-18T11:30:43Z	10.1371/journal.pone.0118888	124423287	775839B9	31	0	2015
36	Governing precarious lives: land grabs, geopolitics, and ?food security?	oai:dspace-production:1810/247029	David Nally	No	2016-05-18T11:30:43Z	10.1111/geoj.12063	116669512	6C904D2A	0	1	2014
37	What Can We Expect to Gain from Reforming the Insolvent Trading Remedy?	oai:dspace-production:1810/247196	Richard Williams	No	2016-05-18T11:30:44Z	10.1111/1468-2230.12106	103257685	70DF1277	0	0	2015
38	Strategic Planning Framework for Land Consolidation in China: A Top-level Design Based on SWOT Analysis	oai:dspace-production:1810/247739	Jinming Yan, Fangzhou Xia and Helen X. H. Bao	No	2016-05-18T11:30:51Z	10.1016/j.habitatint.2015.03.001	98581031	78962939	33	1	2015
39	Endothelin Receptors and Their Antagonists	oai:dspace-production:1810/247745	Janet J. Maguire and Anthony P. Davenport	No	2016-05-18T11:30:51Z	10.1016/j.semnephrol.2015.02.002	5224269	6BF43361	76	1	2015
40	Bringing the Gold Standard into the Classroom: Replication in University Teaching	oai:dspace-production:1810/247655	Nicole Janz	No	2016-05-18T11:30:50Z	10.1111/insp.12104	2080312	766A7276	12	0	2015
41	Accuracy of Distributed Optical Fiber Temperature Sensing for Use in Leak Detection of Subsea Pipelines	oai:dspace-production:1810/246978	S. Madabhushi, M. Z. E. B. Elshafie and S. K. Haigh	No	2016-05-18T11:30:42Z	10.1061/(ASCE)PS.1949-1204.0000189	105044635	764CA9A3	3	0	2014
42	Corticosterone alters materno-fetal glucose partitioningand insulin signalling in pregnant mice	oai:dspace-production:1810/246986	O. R. Vaughan, H. M. Fisher, K. N. Dionelis, E. C. Jefferies, J. S. Higgins, B. Musial, A. N. Sferruzzi-Perri and A. L. Fowden	No	2016-05-18T11:30:42Z	10.1113/jphysiol.2014.287177	11298804	7F7073C2	0	1	2015
43	ZOE: A Cloud-less Dialog-enabled Continuous Sensing Wearable Exploiting Heterogeneous Computation	oai:dspace-production:1810/248123	Nicholas D. Lane, Petko Georgiev, Cecilia Mascolo, Ying Gao, Bell Labs, University of Cambridge and Intel Research	No	2016-05-18T11:30:54Z	10.1145/2742647.2742672	984692	7AC52F2C	40	1	2015
44	Complexity Classification of Local Hamiltonian Problems	oai:dspace-production:1810/248142	Toby Cubitt and Ashley Montanaro	No	2016-05-18T11:31:01Z	10.1109/FOCS.2014.21	705230	794807FA	0	2	2013
45	The Oldham Notebooks: an analysis of the development of IVF 1969-1978.  IV. Ethical aspects	oai:dspace-production:1810/248149	Martin H. Johnson and Kay Elder	No	2016-05-18T11:31:01Z	10.1016/j.rbms.2015.04.002	21845956	8001FBC4	22	5	2015
46	Efficient Stochastic Methods: Profiled Attacks Beyond 8 Bits	oai:dspace-production:1810/248067	Marios O. Choudary and Markus G. Kuhn	No	2016-05-18T11:30:53Z	10.1007/978-3-319-16763-3_6	84509317	3274DEA1	7	0	2014
47	Layer resolved magnetic domain imaging of epitaxial heterostructures in large applied magnetic fields	oai:dspace-production:1810/248081	S. Zohar, Y. Choi, D. M. Love, R. Mansell, C. H. W. Barnes, D. J. Keavney and R. A. Rosenberg	No	2016-05-18T11:30:53Z	10.1063/1.4913359	17062156	7A3A06E1	16	0	2015
48	Rme-?8 depletion perturbs Notch recycling and predisposes pathogenic signalling	oai:dspace-production:1810/248639	Maria J. Gomez-Lamarca, Laura A. Snowdon, Ekatarina Seib, Thomas Klein and Sarah J. Bray	No	2016-05-18T11:31:05Z	10.1083/jcb.201411001	7418544	72D5F9B9	0	0	2015
49	Watertight conversion of trimmed CAD surfaces to Clough-Tocher splines	oai:dspace-production:1810/248584	Ji?? Kosinka and Thomas J. Cashman	No	2016-05-18T11:31:05Z	10.1016/j.cagd.2015.06.001	15498296	25FECC6E	27	0	2015
50	Sustainable venture capital - catalyst for sustainable start-up success?	oai:dspace-production:1810/248513	N. M. P. Bocken	No	2016-05-18T11:31:04Z	10.1016/j.jclepro.2015.05.079	98583045	801B06EC	49	0	2015
51	Attitudes and preferences towards screening for dementia: a systematic review of the literature	oai:dspace-production:1810/248521	Steven Martin, Sarah Kelly, Ayesha Khan, Sarah Cullum, Tom Dening, Greta Rait, Chris Fox, Cornelius Katona, Theodore Cosco, Carol Brayne and Louise Lafortune	No	2016-05-18T11:31:05Z	10.1186/s12877-015-0064-6	92174123	5E31F17D	43	1	2015
52	The faces of death: regional differentiation in cause-specific mortality in the past	oai:dspace-production:1810/248478	Alice Reid and Nynke J. M. van den Boomen	No	2016-05-18T11:31:04Z	10.1080/1081602X.2015.1057758	92746580	721142C6	0	0	2015
53	House Prices and Current Account Imbalances in OECD Countries	oai:dspace-production:1810/248553	Philip Arestis and Ana Rosa Gonzalez-Martinez	No	2016-05-18T11:31:05Z	10.1002/ijfe.1523	91834656	7F7500AB	0	0	2015
54	Rare coding variants and X - linked loci associated with age at menarche	oai:dspace-production:1810/248397	Kathryn L. Lunetta, Felix Day, Patrick Sulem, Katherine S. Ruth, Joyce Y. Tung, David A. Hinds, T?nu Esko, Cathy E. Elks, Elisabeth Altmaier, Chunyan He, Jennifer E. Huffman, Evelin Mihailov, Eleonora Porcu, Antonietta Robino, Lynda M. Rose, Ursula M. Schick, Lisette Stolk, Alexander Teumer, Deborah J. Thompson, Michela Traglia, Carol A. Wang, Laura M. Yerges-Armstrong, Antonis C. Antoniou, Caterina Barbieri, Andrea D. Coviello, Francesco Cucca, Ellen W. Demerath, Alison M. Dunning, Ilaria Gandin, Megan L. Grove, Daniel F. Gudbjartsson, Lynne J. Hocking, Albert Hofman, Jinyan Huang, Rebecca D. Jackson, David Karasik, Jennifer Kriebel, Ethan M. Lange, Leslie A. Lange, Claudia Langenberg, Xin Li, Jian'an Luan, Reedik M?gi, Alanna C. Morrison, Sandosh Padmanabhan, Ailith Pirie, Ozren Polasek, David Porteous, Alex P. Reiner, Fernando Rivadeneira, Igor Rudan, Cinzia F. Sala, David Schlessinger, Robert A. Scott, Doris St?ckl, Jenny A. Visser, Uwe V?lker, Diego Vozzi, James G. Wilson, Marek Zygmunt, Generation Scotland, InterAct Consortium, Eric Boerwinkle, Julie E. Buring, Laura Crisponi, Douglas F. Easton, Caroline Hayward, Frank B. Hu, Simin Liu, Andres Metspalu, Craig E. Pennell, Paul M. Ridker, Konstantin Strauch, Elizabeth A. Streeten, Daniela Toniolo, Andr? G. Uitterlinden, Sheila Ulivi, Henry V?lzke, Nicholas J. Wareham, Melissa Wellons, Nora Franceschini, Daniel I. Chasman, Unnur Thorsteinsdottir, Anna Murray, Kari Stefansson, Joanne M. Murabito, Ken K. Ong and John R. B. Perry	No	2016-05-18T11:31:03Z	10.1038/ncomms8756	105397064	7D598954	0	0	2015
55	Quantifying pharmaceutical film coating with optical coherence tomography and terahertz pulsed imaging: an evaluation	oai:dspace-production:1810/248408	Hungyen Lin, Yue Dong, Yaochun Shen and J. Axel Zeitler	No	2016-05-18T11:31:03Z	10.1002/jps.24535	8221131	7FFD87CE	0	0	2015
56	Predicting hip fracture type with cortical bone mapping (CBM) in the Osteoporotic Fractures in Men (MrOS) study	oai:dspace-production:1810/248401	Graham M. Treece, Andrew H. Gee, Carol Tonkin, Susan K. Ewing, Peggy M. Cawthon, Dennis M. Black, Kenneth E. S. Poole and Osteoporotic Fractures in Men Study	No	2016-05-18T11:31:03Z	10.1002/jbmr.2552	102061204	7DBF2CA5	19	0	2015
57	Adolescents leaving mental health or social care services: predictors of mental health and psychosocial outcomes one year later	oai:dspace-production:1810/248263	Jessica Memarzia, Michelle C. St Clair, Matt Owens, Ian M. Goodyer and Valerie J. Dunn	No	2016-05-18T11:31:02Z	10.1186/s12913-015-0853-9	125185899	7F326642	35	4	2015
58	Complete Bilayer Adsorption Of C16TAB On The Surface Of Mica Using Neutron Reflection	oai:dspace-production:1810/248328	L. R. Griffin, K. L. Browning, C. L. Truscott, L. A. Clifton and S. M. Clarke	No	2016-05-18T11:31:02Z	10.1021/acs.jpcb.5b00397	1721494	113539B9	0	0	2015
59	Controllable Tuning Plasmonic Coupling with Nanoscale Oxidation	oai:dspace-production:1810/248351	Tao Ding, Daniel Sigle, Liwu Zhang, Jan Mertens, Bart de Nijs and Jeremy Baumberg	No	2016-05-18T11:31:03Z	10.1021/acsnano.5b01283	48281924	83BDD5AD	0	0	2015
60	Composite leptoquarks and anomalies in B-meson decays	oai:dspace-production:1810/248200	Ben Gripaios, M. Nardecchia and S. A. Renner	No	2016-05-18T11:31:01Z	10.1007/JHEP05(2015)006	110587717	61CEF9BD	0	3	2014
61	Increased reservoir ages and poorly ventilated deep waters inferred in the glacial Eastern Equatorial Pacific	oai:dspace-production:1810/248190	Maria de la Fuente, Luke Skinner, Eva Calvo, Carles Pelejero and Isabel Cacho	No	2016-05-18T11:31:01Z	10.1038/ncomms8420	105399860	715FB353	0	1	2015
62	Coupled measurements of ?^18O and ?D of hydration water and salinity of fluid inclusions in gypsum from the Messinian Yesares Member, Sorbas Basin (SE Spain)	oai:dspace-production:1810/249212	Nicholas P. Evans, Alexandra V. Turchyn, Fernando G?zquez, Tomaso R. R. Bontognali, Hazel J. Chapman and David A. Hodell	No	2016-05-18T11:31:13Z	10.1016/j.epsl.2015.07.071	10310441	71501423	42	0	2015
63	Towards a sufficiency-driven business model: experiences and opportunities	oai:dspace-production:1810/249112	N. M. P. Bocken and S. W. Short	No	2016-05-18T11:31:09Z	10.1016/j.eist.2015.07.010	46526120	5A78BC3B	22	0	2015
64	Fine-scale genetic structure reflects sex-specific dispersal strategies in a population of sociable weavers (Philetairus socius)	oai:dspace-production:1810/249056	Ren? E. van Dijk, Rita Covas, Claire Doutrelant, Claire N. Spottiswoode and Ben J. Hatchwell	No	2016-05-18T11:31:09Z	10.1111/mec.13308	99349081	7E965B84	0	0	2015
65	Consumption of Ultra-processed Foods and Obesity in Brazilian Adolescents and Adults	oai:dspace-production:1810/249066	Maria Laura da Costa Louzada, Larissa Galastri Baraldi, Euridice Martinez Steele, Ana Paula Bortoletto Martins, Daniela Silva Canella, Jean Claude-Moubarac, Renata Bertazzi Levy, Geoffrey Cannon, Ashkan Afshin, Fumiaki Imamura, Dariush Mozaffarian and Carlos Augusto Monteiro	No	2016-05-18T11:31:09Z	10.1016/j.ypmed.2015.07.018	6157154	3B57A497	33	0	2015
66	Conserving nature out of fear or knowledge? Using threatening versus connecting messages to generate support for environmental causes	oai:dspace-production:1810/249036	Netta Weinstein, Michael Rogerson, Joshua Moreton, Andrew Balmford and Richard B. Bradbury	No	2016-05-18T11:31:09Z	10.1016/j.jnc.2015.04.002	125535013	7A33573D	44	0	2015
67	Ice-shelf fracture due to viscoelastic-flexure stress induced by fill/drain cycles of supraglacial lakes	oai:dspace-production:1810/248979	Alison F. Banwell and Douglas R. MacAyeal	No	2016-05-18T11:31:08Z	10.1017/S0954102015000292	106011164	7E4E3355	0	0	2015
68	Contribution of major lifestyle risk factors for incident heart failure in older adults: the Cardiovascular Health Study	oai:dspace-production:1810/248916	Liana C. Del Gobbo, Shadi Kalantarian, Fumiaki Imamura, Rozenn Lemaitre, David S. Siscovick, Bruce M. Psaty and Dariush Mozaffarian	No	2016-05-18T11:31:08Z	10.1016/j.jchf.2015.02.009	83128412	325A48A9	30	3	2015
69	Bond Behaviour of Reinforcing Bars in Cracked Concrete	oai:dspace-production:1810/248908	Pieter Desnerck, Janet M. Lees and Chris T. Morley	No	2016-05-18T11:31:08Z	10.1016/j.conbuildmat.2015.06.043	123305330	314A7995	16	0	2015
70	Tuning of Pectin Methylesterification: Consequences for Cell Wall Biomechanics and Development	oai:dspace-production:1810/248796	Gabriel Levesque-Tremblay, Jerome Pelloux, Siobhan A. Braybrook and Kerstin M?ller	No	2016-05-18T11:31:07Z	10.1007/s00425-015-2358-5	123907384	2E9BC1B5	141	0	2015
71	Early?Middle Pleistocene transitions: linking terrestrial and marine realms	oai:dspace-production:1810/248737	Martin J. Head and Philip L. Gibbard	No	2016-05-18T11:31:06Z	10.1016/j.quaint.2015.09.042	101782749	72FEF744	372	1	2015
72	Long-term changes in soil microbial communities during primary succession	oai:dspace-production:1810/248704	Nick A. Cutler, Dominique L. Chaput and Christopher J. van der Gast	No	2016-05-18T11:31:06Z	10.1016/j.soilbio.2013.11.022	121708118	7EF9FDF8	61	6	2014
73	Different epigenetic states define syncytiotrophoblast and cytotrophoblast nuclei in the trophoblast of the human placenta	oai:dspace-production:1810/249274	Norah M. E. Fogarty, Anne C. Ferguson-Smith and Graham J. Burton	No	2016-05-18T11:31:13Z	10.1016/j.placenta.2015.05.006	2094603	5E9EBCED	42	1	2015
74	Fast and simple spectral FLIM for biochemical and medical imaging	oai:dspace-production:1810/249288	Marina Popleteeva, Kalina T. Haas, David Stoppa, Lucio Pancheri, Leonardo Gasparini, Clemens F. Kaminski, Liam D. Cassidy, Ashok R. Venkitaraman and Alessandro Esposito	No	2016-05-18T11:31:13Z	10.1364/OE.23.023511	3207929	83B99711	37	0	2015
75	Temporal signal in structured molecular data	oai:dspace-production:1818/250372	Gemma G. R. Murray, Fang Wang, Ewan M. Harrison, Gavin K. Paterson, Alison E. Mather, Simon R. Harris, Mark A. Holmes, Andrew Rambaut and John J. Welch	No	2016-05-18T11:31:23Z	10.1111/2041-210X.12466	123904050	71767693	0	2	2015
76	An orthogonal biocatalytic approach for the safe generation and use of HCN in a multi-step continuous preparation of chiral O-acetylcyanohydrins	oai:dspace-production:1810/250585	Aischarya Brahma, Biagia Musio, Uliviya Ismayilova, Nikzad Nikbin, Sonja B. Kamptmann, Petra Siegert, G?nter E. Jeromin, Steven V. Ley and Martina Pohl	No	2016-05-18T11:31:24Z	10.1055/s-0035-1560644	16815378	8319AE96	0	0	2015
77	Protocol of the adaptive study of IL-2 dose frequency on regulatory T cells in type 1 diabetes (DILfrequency): a mechanistic, non-randomised, repeat dose, open label, response-adaptive study	oai:dspace-production:1810/250599	Lucy A. Truman, Marcin L. Pekalski, Paula Kareclas, Marina Evangelou, Neil M. Walker, James Howlett, Adrian P. Mander, Jane Kennet, Linda S. Wicker, Simon Bond, John A. Todd and Frank Waldron-Lynch	No	2016-05-18T11:31:25Z	10.1136/bmjopen-2015-009799	114955517	82E12D72	0	0	2015
78	Solving Linear Programs without Breaking Abstractions	oai:dspace-production:1810/251099	Matthew Anderson, Anuj Dawar and Bjarki Holm	No	2016-05-18T11:31:25Z	10.1145/2822890	111932617	83CE0F81	33	0	2015
79	Health spillovers and economic evaluation	oai:dspace-production:1810/251091	H. Al-Janabi, J. van Exel and W. Brouwer	No	2016-05-18T11:31:25Z	10.1002/hec.3259	109038856	7F05A140	0	0	2015
80	EpsinR, gadkin, and clathrin	oai:dspace-production:1810/250528	Jennifer Hirst, James R. Edgar, Georg H. H. Borner, Sam Li, Daniela A. Sahlender, Robin Antrobus and Margaret S. Robinson	No	2016-05-18T11:31:24Z	10.1091/mbc.E15-04-0245	122556391	812EA6C1	0	0	2015
81	Promiscuous enzymes from functional metagenomics	oai:dspace-production:1810/250521	Pierre-Yves Colin, Balint Kintses, Fabrice Gielen, Charlotte Miton, Gerhard Fischer, Mark Mahomed, Marko Hyvonen, Diego P. Morgavi, Dick B. Janssen and Florian Hollfelder	No	2016-05-18T11:31:24Z	10.1038/ncomms10008	105395399	83C5314F	0	0	2015
82	Neuronal activity regulates remyelination via glutamate signalling to oligodendrocyte progenitors	oai:dspace-production:1810/250535	H?l?ne O. B. Gautier, Kimberley A. Evans, Katrin Volbracht, Rachel James, Sergey Sitnikov, Iben Lundgaard, Fiona James, Cristina Lao-Peregrin, Richard Reynolds, Robin J. M. Franklin and Ragnhildur T. K?rad?ttir	No	2016-05-18T11:31:24Z	10.1038/ncomms9518	105397454	5630D328	0	1	2015
83	The Number of Variants in the Greek New Testament: A Proposed Estimate	oai:dspace-production:1810/250445	Peter J. Gurry	No	2016-05-18T11:31:23Z	10.1017/S0028688515000314	116283556	81CF822E	0	0	2016
84	NetFPGA - Rapid Prototyping of Networking Devices in Open Source	oai:dspace-production:1810/250401	Noa Zilberman, Yury Audzevich, Georgina Kalogeridou, Neelakandan Manihatty Bojan, Jingyun Zhang and Andrew W. Moore	No	2016-05-18T11:31:23Z	10.1145/2785956.2790029	1335353	7559D6D0	3	0	2015
85	Additional sampling directions improve detection range of wireless probes	oai:dspace-production:1810/250453	Malte Hoffmann, Marius Mada, T. Adrian Carpenter, Stephen J. Sawiak and Guy B. Williams	No	2016-05-18T11:31:23Z	10.1002/mrm.25993	101633671	7DB25DFB	0	0	2015
